No,Title,Author,Year,Type,Keywords,Process,Process overview,Type (acc. author),Type (top-down/bottom-up),Domain
15,Knowledge graph construction from multiple online encyclopedias,"T Wu, H Wang, C Li, G Qi, X Niu, M Wang, L Li, C Shi",2019,Methodological,Knowledge graph·Knowledge extraction·Knowledge linking·Semantic Web,"0. Input - online encyclopedia (OE)
1. Knowledge extraction
1.1. Regular extraction
1.1.1. Infobox properties extraction
1.1.2. Abstract extraction
1.1.3. Category extraction
1.1.4. Type inference 1.1.5. Others (Redirects, internal links, external links, related pages)
1.2. Live extraction 1.2.1. Stream filtering
1.2.2. Entity label extraction
1.2.3. Wikipedia (OE) synchronizing
1.2.4. Cross-lingual Transformation
1.2.5. Entity search
1.2.6. Seed synchronizing
1.2.7. Entity expansion
1.2.8. Expanded entities synchronizing
2. Knowledge linking
2.1. Lightweight entity matching
2.1.1. Using entity labels
2.1.2. Punctuation cleaning
2.1.3. Extending Synonyms
2.2. Semi-supervised entity matching 2.2.1. Matched pairs into generator to get frequent set of property pairs
2.2.2. Rule constructor
2.2.3. Matching rules applied for data to get matched properties","we have two core modules: knowledge extraction and knowledge linking. The input of our framework are different online encyclopedias (OE1,OE2, ...OEn). We first use regular extraction to extract different kinds of article contents as RDF triples, such as Infobox Properties (corresponds to infobox extraction), Abstracts (corresponds to abstract extraction), Categories (corresponds to category extraction), Entity Types (corresponds to type inference), and others. The interval of executing regular extractions is often long, because re-extracting all given online encyclopedias consumes too much network bandwidth and time. To update knowledge in time, we frequently utilize live extraction which relies on a supervised update frequency predictor based on LSTM, to find emerging entities and existing entities with updated article contents, and then extract their article contents as RDF triples. When we got the generated knowledge by knowledge extraction, we leverage lightweight entity matching strategies and a semi-supervised rule learning method to match entities and properties across online encyclopedias. Finally, all output RDF triples compose a knowledge graph. The above process can be optional repeated because regular extraction and live extraction are used together to support knowledge update.",Framework,Bottom-up,
16,End-to-end entity resolution for big data: A survey,"V Christophides, V Efthymiou, T Palpanas",2019,Methodological,,"1. Entity collection 2. Blocking
3. Block processing
3.1. Block cleaning
3.2. Comparison cleaning
4. Entity matching
5. Entity clustering
6. Resolved entities",,Workflow,Bottom-up,
17,DBkWik: extracting and integrating knowledge from thousands of Wikis,"S Hertling, H Paulheim",2020,Domain specific,Knowledge graph creation·Information extraction·Linked open data·Knowledge graph matching,"1. Dump downloader ---> MediaWiki Dumps
2. DBpedia extraction framework---> extracted RDF
3. Interlinking 3.1. Instance matcher
3.2. Schema matcher
4. Internal linking 4.1. Instance matcher
4.2. Schema matcher
5. Knowledge graph fusion
6. Ontology 6.1. Domain/range
6.2. Subclass
7. Type
7.1. SDType light
7.2. Materialisation
8. Consolidated knowledge graph","Hence, for creating the DBkWik knowledge graph, we use the same software which has been developed for generating DBpedia, i.e., the DBpedia Extraction Framework. From a high-level point of view, the DBpedia Extraction Framework takes a Wiki dump6 as input and produces a knowledge graph as output.7 In that knowledge graph, one instance is created for each Wiki page, and one triple is created for each entry in an infobox (e.g., the population or the capital of a country). Links in an infobox create a relation between two resources (e.g., a city and a country for a capital infobox link), whereas non-linked values in an infobox (e.g., numbers or dates) create a literal assertion (e.g., the population of a country)",Workflow,Bottom-up,DBpedia
18,Domain-specific Knowledge Graph Construction,Mayank Kejriwal,2019,Methodological,,"1. Information extraction
1.1. Named entity recognition
1.2. Relation extraction
1.3. Event extraction
1.4. Web information extraction
2. Entity resolution
2.1 Blocking
2.2 Similarity
3. Knowledge graph completion
3.1. Knowledge graph embeddings",,-,Bottom-up,
19,Domain-Specific Knowledge Graph Construction for Semantic Analysis,Nitisha Jain,2020,Domain specific,Knowledge graphs · Ontology learning · Cultural heritage,"0. Input - art dataset
1. Dictionary based matching
2. Boundary corrections
3. Silver standard wikipedia sentences
Result - Annotated dataset - NER model",,Approach,Top-down,Art
20,"Information extraction and knowledge graph construction from
geoscience literature","C Wang, X Ma, J Chen, J Chen",2018,Domain specific,"Geological corpus
Knowledge graph
Geoscience literature
Chinese word segmentation
Chord and bigram graphs","1. Hybrid corpus creation
2. Chinese word segmentation
3. Knowledge graph construction","2.4.1. Hybrid corpus creation
(a) Create a raw corpus derived from the geological literature in
CNKI;
(b) Use terms of geology dictionary and TCCGMR to match the raw
corpus and label them using label set fB; E; M; Sg. This step introduces the professional knowledge contained in geology dictionary and TCCGMR into the raw corpus.
(c) After the dictionary matching, unmatched words are labeled using
label set manually to build the geological corpus.
(d) Build the hybrid corpus by combining a generic corpus and the
geological corpus together. In this study, the People's Daily Corpus
released by Institute of Computational Linguistics, Perking University was selected as a generic corpus.
2.4.2. Chinese word segmentation
(a) Use the hybrid corpus to train the rules of word segmentation and
build a CRF-based geological word segmentation model. The rules
training and word segmentation were carried out based on the
CRFþþ 0.58 toolkit.1
(b) Use the geological word segmentation model to segment the input
geological text document.
2.4.3. Knowledge graph construction
(a) Remove the stop-words from the word segmentation results by
matching method and get the content-words. The stop-word library used in this study was an extended version of the stop-words
of Harbin Institute of Technology.
(b) Analyze content-words frequency in individual chapters and the
whole report.
(c) Select the chord and bigram graphs to visualize the content-words
and links as nodes and edges in a knowledge graph.",Workflow,Top-down,Geography
21,OpenIE-based approach for Knowledge Graph construction from text,"JL Martinez-Rodriguez, I López-Arévalo",2018,Methodological,"Knowledge Graph
Semantic Web representation
Fact extraction
Relation Extract","0. Document acquisition 1. Preprocessing
1.1. Sentence segmentation, part of speech, syntax tree parsing
1.2. Filtering - word window, syntactic patterns
2. Entity extraction and linking (EEL)
2.1. Service invocation
2.2. Output integration
2.3. Filtering - overlaps, voting, deduplication
3. Nominal Phrases (NP) association
3.1. NP tagging
3.2. Entity extraction
3.3. Entity matching 3.4. Tuple creation
4. Relation extraction (RE)
5. Automatic SRL (semantic role labeling)
6. Order and selection
6.1. Entity selection 6.2. Property selection
7. RDF preparation","This section presents the proposed method for the construction of Knowledge Graphs from text. As already mentioned, our proposed method is based on a combination of Natural Language Processing (NLP) and Information Extraction (IE) operations in order to transform an input text into RDF triples. In general, such operations involve the acquisition and preprocessing of input text; the extraction of named entities and their association with grammatical units (that help to preserve coherent units of information); the extraction of semantic relations (through an OpenIE approach) and
their association with semantic information provided by a Semantic Role Labeling (SRL) approach that lead to identify the order and selection of elements to be finally represented through RDF triples

This paper proposed an approach for constructing Knowledge Graphs on the Semantic Web through a task we coined as Relation Extraction and Linking. Our approach relies on Information Extraction (IE) tasks for obtaining named entities and relations to then link them using data and standards of the Semantic Web. Moreover, we integrated information from such IE tasks together with grammatical units of information for keeping coherence at the representation stage.",Method,Bottom-up,
22,Real-world data medical knowledge graph: construction and applications,"L Li, P Wang, J Yan, Y Wang, S Li, J Jiang",2020,Domain specific,"real-world data
medical knowledge graph
CDSS
quadruplet
PSR","1. Data preparation
2. Entity recognition
3. Entity normalisation
4. Relation extraction
5. Property calculation
6. Graph cleaning
7. Related entity ranking
8. Graph embedding",,Procedure,Bottom-up,Healthcare / medicine
23,Developing a Product Knowledge Graph of Consumer Electronics to Manage Sustainable Product Information,Haklae Kim,2021,Domain specific,"consumer electronics; product knowledge; knowledge graph; ontology model; formal
concept analysis","1. Data collection
2. Extract specification groups --> build reference vocabulary
3. Analyse formal concepts for specification groups
4. Extract specification items --> build reference vocabulary
5. Analyse formal concepts for specification items
6. Concept refinement
7. Design a knowledge model
8. Construct a knowledge graph","The development of the product knowledge graph was divided into two steps. First, terms in the specifications were extracted and analyzed in a formalized process; then, the knowledge graph was constructed. Analyzing the technical terms involves the extraction of vocabularies from heterogeneous product specifications, definition of common vocabularies, and application of common vocabularies between products.",Process,Bottom-up,Electronics
24,"Development of process safety knowledge graph: A Case study on
delayed coking process","S Mao, Y Zhao, J Chen, B Wang, Y Tang",2020,Domain specific,"Process safety
Knowledge graph
Delayed coking process","0. Data sources
1. Data acquisition
1.1. Data acquisition from relational databases
1.2. Data acquisition from documents
2. Schema definition - ontology design
3. Data import and storage",Using Neo4j,Process,Bottom-up,Safety / manufacturing
25,Principles for Developing a Knowledge Graph of Interlinked Events from News Headlines on Twitter,"S Shekarpour, A Saxena, K Thirunarayan",2018,Domain specific,,"1. Data collection
2. Data modelling
3. Event annotation
3.1. Event recognition
3.2. Event classification
4. Entity annotation
4.1. Entity recognition
4.2. Entity linking
4.3. Entity labelling / Semantic role labelling
4.4. Entity disambiguation
4.5. Inferring Implicit Entity
5. Event interlinking
5.1. Evolutionary linking
5.2. Across-media interlinking","This pipeline contains the following main steps, to be discussed in detail later. (1) Collecting tweets from the stream of several news channels such as BBC and CNN on Twitter. (2) Agreeing upon background data model. (3) Event annotation potentially contains two subtasks (i) event recognition and (ii) event classification. (4) Entity/relation annotation possibly comprises a series of tasks as (i) entity recognition, (ii) entity linking, (iii) entity disambiguation, (iv) semantic role labeling of entities and (v) inferring implicit entities. (5) Interlinking events across time and media. (6) Publishing event knowledge graph based on the best practices of Linked Open Data.",Pipeline,Top-down,Social media
26,Accelerating Road Sign Ground Truth Construction with Knowledge Graph and Machine Learning,"JE Kim, C Henson, K Huang, TA Tran",2020,Domain specific,"Knowledge Graph, Meta-Learning, Road Sign Classification, Data Annotation, Crowd-sourcing, Human in the Loop, Autonomous Driving","Designing Road Sign ontology
1. Road sign features
2. Road sign conventions and prototypes
3. Alignment with domain vocabularies
Building road sign knowledge graph
1. KG construction with crowdsourcing (thus people)
1.1. Identifying road sign templates for various countries
1.2. Road sign feature extraction
2. Alignment of KG to domain specific KG (ML)
2.1. Automated reasoning
2.2. Auto-transformation for individual triples
2.3. Manual alignment","We need to design the knowledge graph specifically to enable the recognition of road signs in different applications. However, building the knowledge graph manually is both time consuming and difficult due to lack of comprehensive domain knowledge of human annotators. In our work, we develop a two-step system: First, we rely on the crowd to construct the large-scale graphs with basic properties. Second, we align and extend the graphs to ”fine-tune” to domain-specific data and vocabularies.",Approach,Top-down,Transport
27,"Design and Implementation of Curriculum System
Based on Knowledge Graph","X Yu, M Stahr, H Chen, R Yan",2021,Domain specific,"Graph Database, Neo4j, Curriculum System,
Knowledge Graph","1. Acquiring Multi-source entity knowledge
2. Entity relationship
3. Mapping of knowledge graph
3.1. Data preprocessing
3.2. Data features analysis
3.3. Mapping of KG","According to the name and relationship of the course, building the knowledge graph of the curriculum system requires attributes and related information of the course be obtained from structured data. By acquiring and combing this
information, the type and entity are defined. This will expand the expression, storage and query of the knowledge graph of the curriculum system, as well as the error correction problems based on the knowledge graph",Process,Bottom-up,Education
28,COVID-19 Literature Knowledge Graph Construction and Drug Repurposing Report Generation,"Q Wang, M Li, X Wang, N Parulian, G Han, J Ma",2020,Domain specific,,"1. Data
1.1. Scientific literature
1.2. Biochemical ontology and existing databases
2. Semantics
2.1. Hierarchical spherical embedding
2.2. Ontology enriched text embedding
2.3. Cross-media structured semantic representation
3. Knowledge base
3.1 Entity/Relation/Event extraction, hypothesis ranking and evidence mining","To tackle these two challenges we propose a new framework, COVID-KG, to accelerate scientific discovery and build bridge between clinicians and biology scientists, as illustrated in Figure 2. COVID-KG starts by reading existing paper to build multimedia knowledge graphs (KGs), in which nodes are entities/concepts and edges represent relations and events involving these entities, extracted from both text and images. Given the KGs enriched with path ranking and evidence mining, COVID-KG answers natural language questions effectively.",Framework,Top-down,Healthcare / medicine
29,A Practice of Tourism Knowledge Graph Construction based on Heterogeneous Information,"D Xiao, N Wang, J Yu, C Zhang, J Wu",2020,Domain specific,,"1. Data preparation
1.1. Data acquisition
1.2. Data cleaning
1.3. Data annotation
1.4. Data augmentation 2. Knowledge extraction of semi-structured data
3. Knowledge extraction of unstructured data
3.1. Entity extraction
3.2. Relation extraction
3.3. Entity Alignment","we crawl semi-structured and unstructured data related to Hainan Tourism from popular travel websites, and extract the structured knowledge from these two types of data in two pipelines",Method,Bottom-up,Tourism
30,AutoKG: Constructing Virtual Knowledge Graphs from Unstructured Documents for Question Answering,"Seunghak Yu, Tianxing He, and James Glass",2020,Domain specific,,"1. Conversion (OpenIE) - generate list of entity-relation triples
2. Encoding (BERT)
3. Surface-entity linking","We propose a framework to automatically construct a virtual KG from unstructured documents, and during retrieval, traverse it to extract desired information from multiple documents. Given unstructured documents D = {Di}, where each document Di is a sequence of sentences {Sj}, we first create a KG by extracting a set of knowledge tuples for each sentence Sj and link similar entities via contextual embeddings.",Framework,Bottom-up,Movies
31,A High Precision Pipeline for Financial Knowledge Graph Construction,"S Elhammadi, LVS Lakshmanan, R Ng",2020,Domain specific,,"1. Text preprocessing & cleaning
2. Coreference resolution
3. Named entity recognition
4. Semantic role labeling
5. Financial predicate dictionary filtering
6. Appositions + coordinating conjunctions
7. Argument validation 8. Pattern extraction
9. Temporal argument parser
10. Argument minimisation 11. Fact scoring","The pipeline operates at the sentence level and starts with cleaning the news articles by identifying and removing noisy text spans, then performs linguistic annotations, i.e., resolves co-references and identifies named entities. Predicate argument structures are then extracted by the SRL component and passed to the financial predicate dictionary which we built to filter out noisy extractions by the SRL. We produce additional extractions via high-precision typed patterns that are tailored to the financial domain, and by resolving appositions. We maximize the utility of the extractions by minimizing overly specific arguments by processing coordinating conjunctions and financial lexicon guided minimization. Finally, we score the predicate argument structures to reflect our confidence in their precision and conciseness.",Pipeline,Bottom-up,Finance
32,"Architecture of Knowledge Graph
Construction Techniques","Z Zhao, SK Han, IM So",2018,Methodological,"Knowledge graph, Knowledge acquisition,
Knowledge fusion, Visualization, Machine learning, Linked
Open Data","1. Data
1.1. Structured
1.2. Semi-structured
1.3. Unstructured 2. Knowledge extraction (for semi-structured and unstructured data)
2.1. Attribute extraction
2.2. Relation extraction
2.3. Entity extraction
3. Knowledge fusion
3.1. Data integration 3.2. Entity alignment
3.3. Knowledge inference
3.4. Ontology construction
3.5. Quality evaluation
4. Knowledge graph
4.1. Knowledge retrieval
4.2. Visual display","bottom-up approach of knowledge graph construction.
knowledge fusion is iterative
Knowledge construction of the bottom-up approach is an iterative update process, including knowledge acquisition, knowledge fusion, knowledge storage and retrieval. The primary sources of knowledge acquisition include structured data, semi-structured data and unstructured data. Knowledge extraction consists of entity extraction, attribute extraction and relation extraction. Knowledge fusion is an iterative process, which need to constantly construct ontology and evaluate quality of ontology. Currently, knowledge storage is usually based on NoSQL databases.",Architecture,Bottom-up,
33,Knowledge graph for identifying hazards on construction sites: Integrating computer vision with ontology,"W Fang, L Ma, PED Love, H Luo, L Ding",2020,Domain specific,"Hazards
Ontology
Computer vision
Safety
Knowledge graph database","1. Ontology modeling 1.1. Knowledge base domain taxonomy
1.2. Expert experience
1.3. Safety codes
2. Knowledge extraction
2.1. Named entity recognition
2.2. Attributes extraction
2.3. Relations extraction
3. Knowledge inference
3.1. Graph data modeling (i.e. Neo4j)
3.2. Data store
3.3. Hazard query","we present the workflow for implementing our proposed knowledge graph framework, which comprises three steps:
1.Ontology modelling: Engineering documents, historical accident reports, experts' experience, and safety codes are used to create a hazard taxonomy is constructed, which contains both the specialisation and relations between entities.
2.Knowledge extraction: Computer vision approaches are used to automatically detect a set of entities and attributes, using the data derived from step one. In doing so, object types and their attributes(i.e., geometric, coordinates in images) are identified so that they can be stored in Neo4j for reasoning and querying. After identifying objects and their attributes, an intersection over union (IoU) is used to extract the spatial relationships between objects (i.e., within,away, or overlap) by using geometric and spatial features. Here, the relationships between objects for hazards are defined in step one using the hazard taxonomy that is established.
3.Knowledge inference: A reasoning model for hazard identification was developed using the Neo4j database to create nodes, relationships,and their properties for modelling. The Neo4j database stores and records all types of objects, their attributes, and the relationship of objects, which were obtained from step two. Thus, hazards in the images are automatically identified by querying the created Neo4j Database",Workflow,Top-down,Safety / construction
34,"Knowledge Graph in Smart Education: A CaseStudy of Entrepreneurship ScientificPublication Management","Y Chi, Y Qin, R Song, H Xu",2018,Domain specific,,"0.0. data schema design
0. Semi-structured data
1. Data extraction
1.1. Entity extraction
1.2. Property extraction
2. Entity link 2.1. Entity disambiguation
2.2. Object alignment
3.Ontology learning
4. Data schema
5. KG","Building a knowledge graph is the process by which entities and properties are extracted and stored at the concept and data levels of the knowledge graph based on some automated or semi automatic methods. This paper chose scientific paper resources in the field of entrepreneurial ecosystems to build a knowledge graph; this procedure can be seen in Figure 4. First, the metadata of the scientific paper were acquired from scientific databases. Then, data extraction, entity links, and ontology learning were implemented to acquire entities, concepts, and properties. Finally, they were added to the knowledge graph",Procedure,Top-down,Education
35,"Visualization for Knowledge Graph Based on
Education Data","K Sun, Y Liu, Z Guo, C Wang",2016,Domain specific,visualization; education knowledge graph; web data,"1. Acquisition - raw data
2. Data processing
2.1. Abstract or article
2.2. Topic mining
2.3. Events clustering
2.4. Entity relation extraction
3. Display - visual layout
3.1. Topological structure layout
3.2. Timeline layout
3.3.Path tracing layout
3.4. Word-cloud, detail layout
4. Interaction - visual display","Just as shown in Fig. 1, various educational data are extracted from web including the network public opinion information. Then, the raw data are processed from many aspects and various visual layout methods are presented to display them. Finally, friendly man-machine interaction ensures that users can explore the hidden information conveniently",Process,Bottom-up,Education
36,"Richpedia: A Large-Scale, Comprehensive Multi-Modal Knowledge Graph","M Wang, H Wang, G Qi, Q Zheng",2020,Domain specific,Knowledge graph Multi-modal Wikidata Ontology,"1. Data collection 1.1. Entity IRI creation
1.2. Triple generation
2. Image processing
2.1. Diversity image retrieval
2.2.Clustering
3. Relation discovery",A knowledge graph (KG) can often be viewed as a large-scale multi-relational graph consisting of different entities and their relations. We follow the RDF model [15],Pipeline,Bottom-up,Multimedia
